title,geo_accession,source_name_ch1,Phenotype
HCC001T,GSM2225183,tumor tissue,HCC
HCC002T,GSM2225184,tumor tissue,HCC
HCC003T,GSM2225185,tumor tissue,HCC
HCC004T,GSM2225186,tumor tissue,HCC
HCC005T,GSM2225187,tumor tissue,HCC
HCC006T,GSM2225188,tumor tissue,HCC
HCC007T,GSM2225189,tumor tissue,HCC
HCC008T,GSM2225190,tumor tissue,HCC
HCC009T,GSM2225191,tumor tissue,HCC
HCC010T,GSM2225192,tumor tissue,HCC
HCC011T,GSM2225193,tumor tissue,HCC
HCC012T,GSM2225194,tumor tissue,HCC
HCC013T,GSM2225195,tumor tissue,HCC
HCC014T,GSM2225196,tumor tissue,HCC
HCC015T,GSM2225197,tumor tissue,HCC
HCC016T,GSM2225198,tumor tissue,HCC
HCC017T,GSM2225199,tumor tissue,HCC
HCC018T,GSM2225200,tumor tissue,HCC
HCC019T,GSM2225201,tumor tissue,HCC
HCC020T,GSM2225202,tumor tissue,HCC
HCC021T,GSM2225203,tumor tissue,HCC
HCC022T,GSM2225204,tumor tissue,HCC
HCC023T,GSM2225205,tumor tissue,HCC
HCC024T,GSM2225206,tumor tissue,HCC
HCC025T,GSM2225207,tumor tissue,HCC
HCC026T,GSM2225208,tumor tissue,HCC
HCC027T,GSM2225209,tumor tissue,HCC
HCC028T,GSM2225210,tumor tissue,HCC
HCC029T,GSM2225211,tumor tissue,HCC
HCC030T,GSM2225212,tumor tissue,HCC
HCC031T,GSM2225213,tumor tissue,HCC
HCC032T,GSM2225214,tumor tissue,HCC
HCC033T,GSM2225215,tumor tissue,HCC
HCC034T,GSM2225216,tumor tissue,HCC
HCC035T,GSM2225217,tumor tissue,HCC
HCC036T,GSM2225218,tumor tissue,HCC
HCC037T,GSM2225219,tumor tissue,HCC
HCC038T,GSM2225220,tumor tissue,HCC
HCC001N,GSM2225221,paired adjacent non-tumor tissue,Non-Tumor
HCC002N,GSM2225222,paired adjacent non-tumor tissue,Non-Tumor
HCC003N,GSM2225223,paired adjacent non-tumor tissue,Non-Tumor
HCC004N,GSM2225224,paired adjacent non-tumor tissue,Non-Tumor
HCC005N,GSM2225225,paired adjacent non-tumor tissue,Non-Tumor
HCC006N,GSM2225226,paired adjacent non-tumor tissue,Non-Tumor
HCC007N,GSM2225227,paired adjacent non-tumor tissue,Non-Tumor
HCC008N,GSM2225228,paired adjacent non-tumor tissue,Non-Tumor
HCC009N,GSM2225229,paired adjacent non-tumor tissue,Non-Tumor
HCC010N,GSM2225230,paired adjacent non-tumor tissue,Non-Tumor
HCC011N,GSM2225231,paired adjacent non-tumor tissue,Non-Tumor
HCC012N,GSM2225232,paired adjacent non-tumor tissue,Non-Tumor
HCC013N,GSM2225233,paired adjacent non-tumor tissue,Non-Tumor
HCC014N,GSM2225234,paired adjacent non-tumor tissue,Non-Tumor
HCC015N,GSM2225235,paired adjacent non-tumor tissue,Non-Tumor
HCC016N,GSM2225236,paired adjacent non-tumor tissue,Non-Tumor
HCC017N,GSM2225237,paired adjacent non-tumor tissue,Non-Tumor
HCC018N,GSM2225238,paired adjacent non-tumor tissue,Non-Tumor
HCC019N,GSM2225239,paired adjacent non-tumor tissue,Non-Tumor
HCC020N,GSM2225240,paired adjacent non-tumor tissue,Non-Tumor
HCC021N,GSM2225241,paired adjacent non-tumor tissue,Non-Tumor
HCC022N,GSM2225242,paired adjacent non-tumor tissue,Non-Tumor
HCC023N,GSM2225243,paired adjacent non-tumor tissue,Non-Tumor
HCC024N,GSM2225244,paired adjacent non-tumor tissue,Non-Tumor
HCC025N,GSM2225245,paired adjacent non-tumor tissue,Non-Tumor
HCC026N,GSM2225246,paired adjacent non-tumor tissue,Non-Tumor
HCC027N,GSM2225247,paired adjacent non-tumor tissue,Non-Tumor
HCC028N,GSM2225248,paired adjacent non-tumor tissue,Non-Tumor
HCC029N,GSM2225249,paired adjacent non-tumor tissue,Non-Tumor
HCC030N,GSM2225250,paired adjacent non-tumor tissue,Non-Tumor
HCC031N,GSM2225251,paired adjacent non-tumor tissue,Non-Tumor
HCC032N,GSM2225252,paired adjacent non-tumor tissue,Non-Tumor
HCC033N,GSM2225253,paired adjacent non-tumor tissue,Non-Tumor
HCC034N,GSM2225254,paired adjacent non-tumor tissue,Non-Tumor
HCC035N,GSM2225255,paired adjacent non-tumor tissue,Non-Tumor
HCC036N,GSM2225256,paired adjacent non-tumor tissue,Non-Tumor
HCC037N,GSM2225257,paired adjacent non-tumor tissue,Non-Tumor
HCC038N,GSM2225258,paired adjacent non-tumor tissue,Non-Tumor
